description,amount,vendor,date
Microsoft Office 365 Subscription,149.99,Microsoft,2026-03-03
AWS Cloud Hosting - March,1250.00,AWS,2026-03-03
Team Lunch Meeting,285.50,Restaurant,2026-03-03
Office Supplies - Paper & Toner,89.99,Staples,2026-03-02
Google Workspace,12.00,Google,2026-03-02
Client Dinner,156.75,Restaurant,2026-03-01
Domain Renewal - company.com,15.99,GoDaddy,2026-03-01
Adobe Creative Cloud,99.00,Adobe,2026-03-01
Printer Maintenance,125.00,Office Depot,2026-02-28
Conference Registration,499.00,EventBrite,2026-02-28
